id	title	provider	score	rating	level	duration	language	skills	enroll
49	                      Data Science in Stratified Healthcare and Precision Medicine	                      The University of Edinburgh	                      4.6	                      86	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      Machine Learning,Data Science,Python Programming,Image Analysis	                      5,242	
50	                      Code Free Data Science	                      University of California San Diego	                      4.3	                      15	                      Beginner Level	                      Approx. 16 hours to complete	                      English	                      	                      2,944	
53	                      Open Source tools for Data Science	                      IBM	                      4.6	                      10,998	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      63,626	
55	                      Process Mining: Data science in Action	                      Eindhoven University of Technology	                      4.8	                      617	                      Intermediate Level	                      Approx. 30 hours to complete	                      English	                      Data Mining,Process Mining,Petri Net,Process Modeling	                      32,880	
56	                      Introducción a Data Science: Programación Estadística con R	                      Universidad Nacional Autónoma de México	                      4.7	                      3,709	                      Beginner Level	                      Approx. 14 hours to complete	                      Spanish	                      Exploratory Data Analysis,Rstudio,R Programming,Graphics	                      115,955	
57	                      Fundamentals of Scalable Data Science	                      IBM	                      4.3	                      811	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Internet Of Things (IOT),Statistics,Apache Spark,Data Science	                      21,082	
59	                      Spatial Data Science and Applications	                      Yonsei University	                      4.4	                      150	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Qgis,Big Data,Geographic Information System (GIS),Spatial Analysis	                      7,366	
60	                      Introduction to Clinical Data Science	                      University of Colorado System	                      4.7	                      138	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      	                      3,426	
63	                      Genomic Data Science with Galaxy	                      Johns Hopkins University	                      3.7	                      576	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Genome,Bioinformatics,Data Analysis,Genomics	                      14,428	
65	                      Data Science in Real Life	                      Johns Hopkins University	                      4.4	                      1,609	                      Mixed	                      Approx. 6 hours to complete	                      English	                      Data Management,Statistics,Data Analysis,Data Science	                      28,215	
68	                      Advanced Linear Models for Data Science 2: Statistical Linear Models	                      Johns Hopkins University	                      4.7	                      34	                      Advanced Level	                      Approx. 10 hours to complete	                      English	                      	                      7,651	
70	                      Bioconductor for Genomic Data Science	                      Johns Hopkins University	                      4.0	                      203	                      Mixed	                      Approx. 17 hours to complete	                      English	                      Bioinformatics,Bioconductor,R Programming,Genomics	                      10,789	
72	                      Advanced Linear Models for Data Science 1: Least Squares	                      Johns Hopkins University	                      4.4	                      105	                      Advanced Level	                      Approx. 11 hours to complete	                      English	                      R Programming,Linear Algebra,Linear Regression,Statistics	                      17,325	
73	                      Введение в науку о данных (An Introduction to Data Science)	                      Saint Petersburg State University	                      3.8	                      34	                      Mixed	                      Approx. 17 hours to complete	                      Russian	                      	                      3,839	
79	                      Big Data Science with the BD2K-LINCS Data Coordination and Integration Center	                      Icahn School of Medicine at Mount Sinai	                      4.9	                      14	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      	                      3,126	
92	                      The Data Scientist’s Toolbox	                      Johns Hopkins University	                      4.5	                      21,048	                      Mixed	                      Approx. 8 hours to complete	                      English	                      R Programming,Rstudio,Github,Data Science	                      349,048	
95	                      Introduction to Probability and Data	                      Duke University	                      4.7	                      3,354	                      Beginner Level	                      Approx. 22 hours to complete	                      English	                      Exploratory Data Analysis,Rstudio,R Programming,Statistics	                      142,630	
98	                      Understanding Clinical Research: Behind the Statistics	                      University of Cape Town	                      4.8	                      1,246	                      Mixed	                      Approx. 23 hours to complete	                      English	                      Statistical Analysis,Statistical Hypothesis Testing,Statistics,Clinical Research	                      62,329	
99	                      Data Visualization with Python	                      IBM	                      4.6	                      4,523	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      Data Virtualization,Matplotlib,Data Visualization (DataViz),Python Programming	                      35,974	
100	                      Practical Time Series Analysis	                      The State University of New York	                      4.6	                      684	                      Intermediate Level	                      Approx. 25 hours to complete	                      English	                      Time Series Models,Time Series,Time Series Forecasting	                      28,999	
104	                      Foundations for Big Data Analysis with SQL	                      Cloudera	                      4.8	                      122	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Data Warehousing,SQL,Data Analysis,Big Data,Database (DBMS)	                      3,899	
105	                      Hadoop Platform and Application Framework	                      University of California San Diego	                      3.9	                      2,930	                      Mixed	                      Approx. 19 hours to complete	                      English	                      Mapreduce,Apache Hadoop,Apache Spark,Python Programming	                      124,353	
107	                      Introduction to Big Data	                      University of California San Diego	                      4.6	                      5,573	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Mapreduce,Big Data,Cloudera,Apache Hadoop	                      133,470	
108	                      International Humanitarian Law in Theory and Practice	                      Universiteit Leiden,Kalshoven-Gieskes Forum	                      4.8	                      364	                      Beginner Level	                      Approx. 13 hours to complete	                      English	                      International Humanitarian Law,International Law,Law	                      13,665	
109	                      Bayesian Statistics: Techniques and Models	                      University of California, Santa Cruz	                      4.8	                      246	                      Intermediate Level	                      Approx. 36 hours to complete	                      English	                      Bayesian Statistics,Gibbs Sampling,R Programming,Bayesian Inference	                      23,564	
112	                      Introduction to Data Analytics for Business	                      University of Colorado Boulder	                      4.7	                      600	                      Mixed	                      Approx. 18 hours to complete	                      English	                      SQL,Data Model,Data Analysis,Data Quality	                      29,462	
113	                      Computational Neuroscience	                      University of Washington	                      4.7	                      584	                      Beginner Level	                      Approx. 31 hours to complete	                      English	                      Biological Neuron Model,Reinforcement Learning,Computational Neuroscience,Artificial Neural Network	                      59,144	
114	                      Введение в машинное обучение	                      National Research University Higher School of Economics,Yandex School of Data Analysis	                      4.6	                      2,083	                      Mixed	                      Approx. 35 hours to complete	                      Russian	                      Machine Learning,Pandas,Python Programming,Machine Learning (ML) Algorithms	                      83,008	
116	                      Cybersecurity and Its Ten Domains	                      University System of Georgia	                      4.2	                      1,278	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      Cybersecurity,Information Security (INFOSEC),Cryptography,Cyber-Security Regulation	                      126,461	
117	                      End-to-End Machine Learning with TensorFlow on GCP	                      Google Cloud	                      4.6	                      890	                      Advanced Level	                      Approx. 11 hours to complete	                      English	                      	                      16,580	
118	                      Introduction to Genomic Technologies	                      Johns Hopkins University	                      4.5	                      1,835	                      Mixed	                      Approx. 8 hours to complete	                      English	                      Bioinformatics,Statistics,Computational Biology,Data Science	                      34,182	
119	                      Improving your statistical inferences	                      Eindhoven University of Technology	                      4.9	                      462	                      Intermediate Level	                      Approx. 22 hours to complete	                      English	                      Likelihood Function,Bayesian Statistics,Statistical Inference,P-Value	                      30,966	
120	                      Julia Scientific Programming	                      University of Cape Town	                      4.5	                      196	                      Beginner Level	                      Approx. 23 hours to complete	                      English	                      Computer Programming,Data Visualization (DataViz),Julia (Programming Language),Ipython	                      16,823	
121	                      Applied Text Mining in Python	                      University of Michigan	                      4.2	                      2,136	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      Natural Language Processing,Text Mining,Natural Language Toolkit (NLTK),Python Programming	                      63,606	
122	                      Managing Big Data with MySQL	                      Duke University	                      4.7	                      2,541	                      Mixed	                      Approx. 24 hours to complete	                      English	                      MySQL,Teradata,Data Analysis,SQL	                      112,836	
123	                      Guided Tour of Machine Learning in Finance	                      New York University Tandon School of Engineering	                      3.8	                      406	                      Intermediate Level	                      Approx. 21 hours to complete	                      English	                      	                      16,637	
126	                      Python Programming: A Concise Introduction	                      Wesleyan University	                      4.6	                      2,338	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      Computer Programming,Python Syntax And Semantics,Python Libraries,Python Programming	                      83,040	
127	                      Applied AI with DeepLearning	                      IBM	                      4.5	                      562	                      Advanced Level	                      Approx. 18 hours to complete	                      English	                      Machine Learning,Apache Spark,Deep Learning,Long Short-Term Memory (ISTM)	                      28,767	
128	                      Introduction to Machine Learning	                      Duke University	                      4.7	                      155	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      	                      10,609	
129	                      Sleep: Neurobiology, Medicine, and Society	                      University of Michigan	                      4.9	                      121	                      Beginner Level	                      Approx. 21 hours to complete	                      English	                      	                      12,469	
130	                      Basic Data Processing and Visualization	                      University of California San Diego	                      4.4	                      60	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Data Pre-Processing,Web Scraping,Data Visualization (DataViz),Python Libraries	                      3,999	
132	                      Building Arduino robots and devices	                      Moscow Institute of Physics and Technology	                      4.3	                      256	                      Beginner Level	                      Approx. 24 hours to complete	                      English	                      Arduino,Computer Programming,Robotics,Electronics	                      30,416	
133	                      Build Your First Android App (Project-Centered Course)	                      CentraleSupélec	                      4.3	                      654	                      Mixed	                      Approx. 19 hours to complete	                      English	                      	                      152,609	
134	                      用Python玩转数据 Data Processing Using Python	                      Nanjing University	                      4.6	                      1,363	                      Mixed	                      Approx. 26 hours to complete	                      Chinese (Simplified)	                      Pandas,Data Analysis,Python Programming,Numpy	                      67,883	
137	                      Introduction and Programming with IoT Boards	                      Pohang University of Science and Technology	                      4.5	                      74	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      Problem Solving,Arduino,Syntax,Internet Of Things (IOT)	                      2,457	
138	                      Data Processing Using Python	                      Nanjing University	                      4.4	                      118	                      Beginner Level	                      Approx. 27 hours to complete	                      English	                      Pandas,Python Programming,Numpy,Wxpython	                      19,831	
139	                      Design Thinking and Predictive Analytics for Data Products	                      University of California San Diego	                      4.4	                      22	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      	                      1,836	
140	                      Inferential Statistics	                      University of Amsterdam	                      4.4	                      329	                      Mixed	                      Approx. 42 hours to complete	                      English	                      Statistical Inference,Analysis Of Variance (ANOVA),Statistics,Regression Analysis	                      32,722	
142	                      Algorithms, Part II	                      Princeton University	                      5.0	                      920	                      Intermediate Level	                      Approx. 35 hours to complete	                      English	                      Algorithms,Graphs,Data Structure,Data Compression	                      105,960	
143	                      Computer Science: Programming with a Purpose	                      Princeton University	                      4.8	                      95	                      Beginner Level	                      Approx. 38 hours to complete	                      English	                      Algorithms,Programming Principles,Computer Science,Java Programming	                      7,760	
144	                      Computer Science: Algorithms, Theory, and Machines	                      Princeton University	                      4.8	                      137	                      Intermediate Level	                      Approx. 27 hours to complete	                      English	                      	                      25,059	
145	                      Анализ данных: финальный проект	                      Moscow Institute of Physics and Technology,Yandex	                      4.7	                      270	                      Advanced Level	                      Approx. 27 hours to complete	                      Russian	                      Machine Learning,Data Visualization (DataViz),Data Science,Vowpal Wabbit	                      1,658	
157	                      Getting Started with SAS Programming	                      SAS	                      4.9	                      518	                      Beginner Level	                      Approx. 25 hours to complete	                      English	                      	                      14,234	
160	                      Mathematical Thinking in Computer Science	                      University of California San Diego,National Research University Higher School of Economics	                      4.5	                      641	                      Beginner Level	                      Approx. 25 hours to complete	                      English	                      Discrete Mathematics,Proof Theory,Mathematical Logic,Mathematical Induction	                      34,584	
161	                      Launching into Machine Learning	                      Google Cloud	                      4.6	                      3,046	                      Intermediate Level	                      Approx. 7 hours to complete	                      English	                      Machine Learning,Bigquery,Tensorflow,Data Cleansing	                      17,551	
163	                      Big Data Modeling and Management Systems	                      University of California San Diego	                      4.4	                      2,189	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Data Management,Data Model,Data Modeling,Big Data	                      41,574	
165	                      Big Data Integration and Processing	                      University of California San Diego	                      4.4	                      1,568	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Mongodb,Big Data,Apache Spark,Splunk	                      31,954	
166	                      Feature Engineering	                      Google Cloud	                      4.5	                      1,163	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      	                      9,967	
167	                      The R Programming Environment	                      Johns Hopkins University	                      4.4	                      890	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      Regular Expression (REGEX),Data Manipulation,R Programming,Rstudio	                      34,152	
170	                      MongoDB Aggregation Framework	                      MongoDB Inc.	                      4.7	                      21	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      	                      3,806	
171	                      Art and Science of Machine Learning	                      Google Cloud	                      4.6	                      926	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Machine Learning,Tensorflow,Estimator,Cloud Computing	                      8,249	
173	                      Advanced R Programming	                      Johns Hopkins University	                      4.3	                      428	                      Intermediate Level	                      Approx. 12 hours to complete	                      English	                      R Programming,Functional Programming,Logic Programming,Object-Oriented Programming (OOP)	                      18,994	
174	                      Big Data, Genes, and Medicine	                      The State University of New York	                      4.3	                      127	                      Advanced Level	                      Approx. 24 hours to complete	                      English	                      R Programming,Bioinformatics,Big Data,Data Clustering Algorithms	                      15,748	
175	                      Business Analytics Executive Overview	                      University of Illinois at Urbana-Champaign	                      4.5	                      78	                      Intermediate Level	                      Approx. 13 hours to complete	                      English	                      	                      2,937	
177	                      Foundations of marketing analytics	                      ESSEC Business School	                      4.5	                      499	                      Mixed	                      Approx. 8 hours to complete	                      English	                      Marketing Performance Measurement And Management,Marketing Analytics,Customer Lifetime Value,Market Segmentation	                      24,050	
186	                      Building Data Visualization Tools	                      Johns Hopkins University	                      4.0	                      130	                      Intermediate Level	                      Approx. 9 hours to complete	                      English	                      R Programming,Data Visualization (DataViz),Ggplot2,Mapping	                      8,015	
187	                      Practical Predictive Analytics: Models and Methods	                      University of Washington	                      4.1	                      290	                      Mixed	                      Approx. 13 hours to complete	                      English	                      Machine Learning,Random Forest,R Programming,Predictive Analytics	                      30,281	
188	                      Building R Packages	                      Johns Hopkins University	                      4.2	                      180	                      Intermediate Level	                      Approx. 13 hours to complete	                      English	                      R Programming,Programming Tool,Github,Continuous Integration	                      6,791	
192	                      Big Data - Capstone Project	                      University of California San Diego	                      4.4	                      269	                      Mixed	                      Approx. 19 hours to complete	                      English	                      Knime,Big Data,Neo4j,Splunk	                      2,817	
193	                      Introduction to High-Throughput Materials Development	                      Georgia Institute of Technology	                      4.6	                      85	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      	                      4,733	
203	                      Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization	                      deeplearning.ai	                      4.9	                      40,294	                      Beginner Level	                      Approx. 15 hours to complete	                      English	                      Hyperparameter Optimization,Tensorflow,Hyperparameter,Deep Learning	                      215,126	
204	                      Mathematics for Machine Learning: Linear Algebra	                      Imperial College London	                      4.7	                      4,240	                      Beginner Level	                      Approx. 22 hours to complete	                      English	                      Transformation Matrix,Linear Algebra,Eigenvalues And Eigenvectors,Basis (Linear Algebra)	                      97,068	
207	                      Structuring Machine Learning Projects	                      deeplearning.ai	                      4.8	                      33,092	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      Machine Learning,Inductive Transfer,Multi-Task Learning,Deep Learning	                      172,555	
208	                      Convolutional Neural Networks	                      deeplearning.ai	                      4.9	                      26,473	                      Intermediate Level	                      Approx. 21 hours to complete	                      English	                      Convolutional Neural Network,Tensorflow,Artificial Neural Network,Facial Recognition System	                      190,212	
210	                      Getting Started with AWS Machine Learning	                      Amazon Web Services	                      4.3	                      164	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      Artificial Intelligence (AI),Natural Language Processing (NLP),Amazon SageMaker,Computer Vision,Machine Learning	                      19,606	
211	                      Sequence Models	                      deeplearning.ai	                      4.8	                      17,880	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      Artificial Neural Network,Long Short-Term Memory (ISTM),Deep Learning,Recurrent Neural Network	                      151,501	
214	                      Introduction to Artificial Intelligence (AI)	                      IBM	                      4.7	                      1,117	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      Artificial Intelligence (AI),Jobs,Data Science,Deep Learning,Machine Learning	                      16,905	
215	                      Convolutional Neural Networks in TensorFlow	                      deeplearning.ai	                      4.7	                      1,878	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Augmentation,Tensorflow,Machine Learning,Inductive Transfer,Dropouts	                      27,994	
218	                      Understanding and Visualizing Data with Python	                      University of Michigan	                      4.6	                      361	                      Beginner Level	                      Approx. 22 hours to complete	                      English	                      Data Visualization (DataViz),Statistics,Data Analysis,Python Programming	                      14,599	
219	                      Business Metrics for Data-Driven Companies	                      Duke University	                      4.6	                      5,522	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Business Analytics,Business Process,Business Analysis,Data Analysis	                      134,825	
220	                      Natural Language Processing in TensorFlow	                      deeplearning.ai	                      4.6	                      1,294	                      Intermediate Level	                      Approx. 9 hours to complete	                      English	                      Tensorflow,Tokenization,RNNs,Natural Language Processing,Machine Learning	                      18,435	
222	                      Exploratory Data Analysis with MATLAB	                      MathWorks	                      4.9	                      12	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      1,837	
227	                      Sequences, Time Series and Prediction	                      deeplearning.ai	                      4.6	                      818	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Time Series,Tensorflow,prediction,Machine Learning,Forecasting	                      13,743	
230	                      How Google does Machine Learning	                      Google Cloud	                      4.6	                      4,360	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      Bigquery,Google Cloud Platform,Inclusive ML,Machine Learning,Application Programming Interfaces (API)	                      50,209	
231	                      Probabilistic Graphical Models 1: Representation	                      Stanford University	                      4.7	                      1,129	                      Advanced Level	                      Approx. 30 hours to complete	                      English	                      Bayesian Network,Markov Random Field,Graphical Model	                      62,825	
232	                      Machine Learning for Business Professionals	                      Google Cloud	                      4.6	                      168	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      	                      8,641	
233	                      Machine Learning Foundations: A Case Study Approach	                      University of Washington	                      4.6	                      9,070	                      Mixed	                      Approx. 24 hours to complete	                      English	                      Machine Learning,Machine Learning Concepts,Python Programming,Deep Learning	                      204,696	
235	                      Introduction to Data Analysis Using Excel	                      Rice University	                      4.7	                      3,251	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Microsoft Excel,Pivot Table,Data Analysis,Lookup Table	                      75,340	
236	                      Capstone: Retrieving, Processing, and Visualizing Data with Python	                      University of Michigan	                      4.6	                      4,971	                      Mixed	                      Approx. 9 hours to complete	                      English	                      Data Visualization (DataViz),Database (DBMS),Data Analysis,Python Programming	                      55,489	
237	                      Mastering Data Analysis in Excel	                      Duke University	                      4.2	                      3,018	                      Mixed	                      Approx. 29 hours to complete	                      English	                      Microsoft Excel,Linear Regression,Binary Classification,Data Analysis	                      265,074	
239	                      Getting Started with AI using IBM Watson	                      IBM	                      4.5	                      521	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      Artificial Intelligence (AI),Deep Learning,watson,Machine Learning,Application Programming Interfaces (API)	                      4,412	
240	                      Introduction to Deep Learning	                      National Research University Higher School of Economics	                      4.6	                      1,181	                      Advanced Level	                      Approx. 35 hours to complete	                      English	                      Convolutional Neural Network,Tensorflow,Deep Learning,Recurrent Neural Network	                      53,350	
241	                      Problem Solving with Excel	                      PwC	                      4.7	                      3,500	                      Beginner Level	                      Approx. 13 hours to complete	                      English	                      Microsoft Excel,Data Cleansing,Data Analysis,Pivot Table	                      82,553	
242	                      Data Visualization and Communication with Tableau	                      Duke University	                      4.7	                      2,066	                      Mixed	                      Approx. 26 hours to complete	                      English	                      Visualization (Computer Graphics),Data Visualization (DataViz),Data Analysis,Tableau Software	                      120,279	
244	                      Serverless Machine Learning with Tensorflow on Google Cloud Platform	                      Google Cloud	                      4.5	                      2,390	                      Intermediate Level	                      Approx. 12 hours to complete	                      English	                      Cloud Computing,Google Cloud Platform,Tensorflow,Machine Learning,Feature Engineering	                      20,790	
247	                      Prediction and Control with Function Approximation	                      University of Alberta,Alberta Machine Intelligence Institute	                      4.8	                      84	                      Intermediate Level	                      Approx. 19 hours to complete	                      English	                      Intelligent Systems,Artificial Intelligence (AI),Function Approximation,Reinforcement Learning,Machine Learning	                      1,816	
248	                      Inferential Statistical Analysis with Python	                      University of Michigan	                      4.3	                      150	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      Statistical Hypothesis Testing,Statistical Inference,Python Programming,Confidence Interval	                      5,706	
249	                      Natural Language Processing	                      National Research University Higher School of Economics	                      4.6	                      503	                      Advanced Level	                      Approx. 34 hours to complete	                      English	                      Natural Language Processing,Tensorflow,Deep Learning,Chatterbot	                      45,882	
250	                      Getting and Cleaning Data	                      Johns Hopkins University	                      4.6	                      6,537	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Regular Expression (REGEX),Data Manipulation,R Programming,Data Cleansing	                      123,367	
251	                      Обучение на размеченных данных	                      Moscow Institute of Physics and Technology,Yandex	                      4.8	                      2,087	                      Intermediate Level	                      Approx. 43 hours to complete	                      Russian	                      Machine Learning,Random Forest,Python Programming,Supervised Learning	                      23,179	
253	                      Essential Design Principles for Tableau	                      University of California, Davis	                      4.5	                      1,117	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      Data Virtualization,Data Visualization (DataViz),Data Analysis,Tableau Software	                      21,635	
254	                      Inferential Statistics	                      Duke University	                      4.8	                      1,512	                      Beginner Level	                      Approx. 26 hours to complete	                      English	                      Statistical Hypothesis Testing,Statistical Inference,R Programming	                      57,066	
256	                      Social Media Data Analytics	                      Rutgers the State University of New Jersey	                      4.1	                      145	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Statistical Analysis,R Programming,Sentiment Analysis,Python Programming	                      18,606	
257	                      Fundamentos de Excel para Negocios	                      Universidad Austral	                      4.7	                      1,648	                      Beginner Level	                      Approx. 15 hours to complete	                      Spanish	                      Table (Information),Printf Format String,Mathematical Optimization,Graphics,Data Analysis	                      113,013	
258	                      Intro to TensorFlow	                      Google Cloud	                      4.5	                      1,793	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      Cloud Computing,Tensorflow,Estimator,Machine Learning,Application Programming Interfaces (API)	                      15,296	
259	                      Building Resilient Streaming Systems on Google Cloud Platform	                      Google Cloud	                      4.7	                      1,879	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Publish–Subscribe Pattern,Dataflow,Bigquery,Bigtable	                      18,098	
261	                      Deep Neural Networks with PyTorch	                      IBM	                      4.8	                      24	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      	                      1,606	
262	                      Introduction to Deep Learning & Neural Networks with Keras	                      IBM	                      4.6	                      78	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      Artificial Intelligence (AI),Deep Learning,Artificial Neural Network,keras,Machine Learning	                      2,144	
263	                      Базы данных (Databases)	                      Saint Petersburg State University	                      4.3	                      129	                      Mixed	                      Approx. 20 hours to complete	                      Russian	                      MySQL,SQL,Big Data,Database (DBMS)	                      10,881	
264	                      Excel aplicado a los negocios (Nivel Avanzado)	                      Universidad Austral	                      4.7	                      555	                      Intermediate Level	                      Approx. 17 hours to complete	                      Spanish	                      	                      33,807	
265	                      Machine Learning: Regression	                      University of Washington	                      4.8	                      4,437	                      Mixed	                      Approx. 35 hours to complete	                      English	                      Lasso (Statistics),Regression Analysis,Linear Regression,Ridge Regression	                      96,694	
266	                      Statistical Inference	                      Johns Hopkins University	                      4.2	                      3,500	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Statistical Hypothesis Testing,Statistical Inference,Statistics	                      90,027	
267	                      Data Visualization	                      University of Illinois at Urbana-Champaign	                      4.5	                      855	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Data Virtualization,Data Visualization Software,Data Visualization (DataViz),Tableau Software	                      65,847	
271	                      Bayesian Methods for Machine Learning	                      National Research University Higher School of Economics	                      4.6	                      431	                      Advanced Level	                      Approx. 39 hours to complete	                      English	                      Variational Bayesian Methods,Markov Chain Monte Carlo (MCMC),Bayesian Optimization,Gaussian Process	                      30,545	
275	                      Exploratory Data Analysis	                      Johns Hopkins University	                      4.7	                      4,956	                      Mixed	                      Approx. 15 hours to complete	                      English	                      R Programming,Cluster Analysis,Ggplot2,Exploratory Data Analysis	                      100,252	
280	                      Probabilistic Graphical Models 2: Inference	                      Stanford University	                      4.6	                      390	                      Advanced Level	                      Approx. 23 hours to complete	                      English	                      Belief Propagation,Gibbs Sampling,Inference,Markov Chain Monte Carlo (MCMC)	                      16,371	
282	                      Practical Machine Learning on H2O	                      H2O	                      4.5	                      51	                      Intermediate Level	                      Approx. 30 hours to complete	                      English	                      	                      4,047	
283	                      Introduction to People Analytics	                      Moscow Institute of Physics and Technology	                      4.1	                      92	                      Mixed	                      Approx. 20 hours to complete	                      English	                      	                      15,021	
285	                      Probabilistic Graphical Models 3: Learning	                      Stanford University	                      4.6	                      236	                      Advanced Level	                      Approx. 24 hours to complete	                      English	                      Expectation–Maximization (EM) Algorithm,Algorithms,Graphical Model,Markov Random Field	                      13,770	
287	                      Fitting Statistical Models to Data with Python	                      University of Michigan	                      4.4	                      97	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Bayesian Statistics,Statistical Model,statistical regression,Python Programming	                      4,613	
288	                      Experimentation for Improvement	                      McMaster University	                      4.8	                      513	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      Process Optimization,R Programming,Experiment,Experimental Design	                      21,688	
289	                      Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions	                      Rice University	                      4.7	                      1,018	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Statistical Analysis,Statistics,Poisson Distribution,Normal Distribution	                      15,486	
291	                      Building AI Applications with Watson APIs	                      IBM	                      4.2	                      126	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      Artifical Intelligence,Chatbot,Machine Learning,Watson AI,Python Programming	                      1,755	
292	                      Creating Dashboards and Storytelling with Tableau	                      University of California, Davis	                      4.6	                      523	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Data Virtualization,Storyboarding,Data Visualization (DataViz),Tableau Software	                      17,326	
